,MAP_ID,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal,RED,BLUE,G,BRN,P,Y,Pnk,O,Location
0,40900,Howard,01/01/2001,6233.9,3814.5,2408.6,164447,True,False,False,False,False,False,False,False,"(42.019063, -87.672892)"
1,41190,Jarvis,01/01/2001,1489.1,1054.0,718.0,40567,True,False,False,False,False,False,False,False,"(42.015876, -87.669092)"
2,40100,Morse,01/01/2001,4412.5,3064.5,2087.8,119772,True,False,False,False,False,False,False,False,"(42.008362, -87.665909)"
3,41300,Loyola,01/01/2001,4664.5,3156.0,1952.8,125008,True,False,False,False,False,False,False,False,"(42.001073, -87.661061)"
4,40760,Granville,01/01/2001,3109.8,2126.0,1453.8,84189,True,False,False,False,False,False,False,False,"(41.993664, -87.659202)"
5,40880,Thorndale,01/01/2001,2977.7,1840.3,1262.6,79184,True,False,False,False,False,False,False,False,"(41.990259, -87.659076)"
6,41380,Bryn Mawr,01/01/2001,4425.4,2708.3,1881.2,117597,True,False,False,False,False,False,False,False,"(41.983504, -87.65884)"
7,40340,Berwyn,01/01/2001,3329.6,2050.8,1445.6,88683,True,False,False,False,False,False,False,False,"(41.977984, -87.658668)"
8,41200,Argyle,01/01/2001,2745.5,1874.5,1268.2,74240,True,False,False,False,False,False,False,False,"(41.973453, -87.65853)"
9,40770,Lawrence,01/01/2001,2689.6,1869.0,1227.8,72786,True,False,False,False,False,False,False,False,"(41.969139, -87.658493)"
10,40540,Wilson,01/01/2001,4968.1,3069.0,1903.8,131094,True,False,False,False,False,False,False,False,"(41.964273, -87.657588)"
11,40080,Sheridan,01/01/2001,4455.9,2625.8,1685.2,116958,True,False,False,False,False,False,False,False,"(41.953775, -87.654929)"
12,41420,Addison-North Main,01/01/2001,4805.5,2893.5,1900.2,126797,True,False,False,False,False,False,False,False,"(41.947428, -87.653626)"
13,41320,Belmont-North Main,01/01/2001,9075.5,6860.5,4241.4,248310,False,False,False,True,False,False,False,False,"(41.939751, -87.65338)"
14,41220,Fullerton,01/01/2001,10121.0,5239.8,3116.2,259203,True,False,False,False,False,False,False,False,"(41.925051, -87.652866)"
15,40650,North/Clybourn,01/01/2001,3525.6,2674.5,1772.8,97126,True,False,False,False,False,False,False,False,"(41.910655, -87.649177)"
16,40630,Clark/Division,01/01/2001,6501.5,4726.5,3209.0,177985,True,False,False,False,False,False,False,False,"(41.90392, -87.631412)"
17,41450,Chicago/State,01/01/2001,12311.0,9184.3,5658.6,335872,True,False,False,False,False,False,False,False,"(41.896671, -87.628176)"
18,40330,Grand/State,01/01/2001,8378.5,5428.0,3504.8,223562,True,False,False,False,False,False,False,False,"(41.891665, -87.628021)"
19,41660,Lake/State,01/01/2001,13360.8,5721.8,3575.8,334704,True,False,False,False,False,False,False,False,"(41.884809, -87.627813)"
20,40500,Washington/State,01/01/2001,6805.1,2730.5,1386.6,167567,,,,,,,,,
21,41090,Monroe/State,01/01/2001,7123.0,2439.3,1269.2,172809,True,False,False,False,False,False,False,False,"(41.880745, -87.627696)"
22,40560,Jackson/State,01/01/2001,11340.2,3649.0,1877.6,273468,True,False,False,False,False,False,False,False,"(41.878153, -87.627596)"
23,41490,Harrison,01/01/2001,2384.7,1208.3,715.4,60874,True,False,False,False,False,False,False,False,"(41.874039, -87.627479)"
24,41400,Roosevelt,01/01/2001,5510.8,3170.3,2052.0,144179,False,False,True,False,False,False,False,True,"(41.867405, -87.62659)"
25,41000,Cermak-Chinatown,01/01/2001,2396.3,2349.8,2066.6,72450,True,False,False,False,False,False,False,False,"(41.853206, -87.630968)"
26,40190,Sox-35th-Dan Ryan,01/01/2001,3431.9,2124.3,1491.6,91457,True,False,False,False,False,False,False,False,"(41.831191, -87.630636)"
27,41230,47th-Dan Ryan,01/01/2001,2297.6,1594.3,1121.2,62530,True,False,False,False,False,False,False,False,"(41.810318, -87.63094)"
28,41170,Garfield-Dan Ryan,01/01/2001,4510.2,3181.5,1879.4,121347,True,False,False,False,False,False,False,False,"(41.79542, -87.631157)"
29,40910,63rd-Dan Ryan,01/01/2001,3631.5,2414.8,1817.8,98640,True,False,False,False,False,False,False,False,"(41.780536, -87.630952)"
30,40990,69th,01/01/2001,6818.6,4519.8,2901.0,182594,True,False,False,False,False,False,False,False,"(41.768367, -87.625724)"
31,40240,79th,01/01/2001,7406.7,4689.5,3187.6,197643,True,False,False,False,False,False,False,False,"(41.750419, -87.625112)"
32,41430,87th,01/01/2001,5341.1,3239.3,2031.6,140619,True,False,False,False,False,False,False,False,"(41.735372, -87.624717)"
33,40450,95th/Dan Ryan,01/01/2001,14162.6,7472.8,4914.4,366040,True,False,False,False,False,False,False,False,"(41.722377, -87.624342)"
34,41050,Linden,01/01/2001,1075.2,413.3,219.8,26407,False,False,False,False,True,False,False,False,"(42.073153, -87.69073)"
35,41250,Central-Evanston,01/01/2001,942.6,449.8,242.4,23749,False,False,False,False,True,False,False,False,"(42.063987, -87.685617)"
36,40400,Noyes,01/01/2001,552.4,404.3,184.0,14689,False,False,False,False,True,False,False,False,"(42.058282, -87.683337)"
37,40520,Foster,01/01/2001,687.9,424.0,221.4,17937,False,False,False,False,True,False,False,False,"(42.05416, -87.68356)"
38,40050,Davis,01/01/2001,3564.8,2541.5,1313.8,95161,False,False,False,False,True,False,False,False,"(42.04771, -87.683543)"
39,40690,Dempster,01/01/2001,649.0,415.8,260.6,17244,False,False,False,False,True,False,False,False,"(42.041655, -87.681602)"
40,40270,Main,01/01/2001,1213.0,664.0,355.4,31118,False,False,False,False,True,False,False,False,"(42.033456, -87.679538)"
41,40840,South Boulevard,01/01/2001,851.1,411.3,225.2,21495,False,False,False,False,True,False,False,False,"(42.027612, -87.678329)"
42,40140,Skokie,01/01/2001,2521.5,0.0,0.0,55472,False,False,False,False,False,True,False,False,"(42.038951, -87.751919)"
43,40890,O'Hare Airport,01/01/2001,7907.7,5913.3,6097.8,228112,False,True,False,False,False,False,False,False,"(41.97766526, -87.90422307)"
44,40820,Rosemont,01/01/2001,5162.3,1866.0,1108.8,126579,False,True,False,False,False,False,False,False,"(41.983507, -87.859388)"
45,40230,Cumberland,01/01/2001,4729.2,1516.3,989.4,115054,False,True,False,False,False,False,False,False,"(41.984246, -87.838028)"
