,date,daytype,rides,station_id,stationname
0,2001-01-01T00:00:00.000,U,273,40350,UIC-Halsted
1,2001-01-01T00:00:00.000,U,306,41130,Halsted-Orange
2,2001-01-01T00:00:00.000,U,1059,40760,Granville
3,2001-01-01T00:00:00.000,U,649,40070,Jackson/Dearborn
4,2001-01-01T00:00:00.000,U,411,40090,Damen-Brown
5,2001-01-01T00:00:00.000,U,870,40590,Damen/Milwaukee
6,2001-01-01T00:00:00.000,U,391,40720,East 63rd-Cottage Grove
7,2001-01-01T00:00:00.000,U,399,41260,Austin-Lake
8,2001-01-01T00:00:00.000,U,788,40230,Cumberland
9,2001-01-01T00:00:00.000,U,448,41120,35-Bronzeville-IIT
10,2001-01-01T00:00:00.000,U,479,40810,Medical Center
11,2001-01-01T00:00:00.000,U,2542,40330,Grand/State
12,2001-01-01T00:00:00.000,U,176,41050,Linden
13,2001-01-01T00:00:00.000,U,0,40140,Skokie
14,2001-01-01T00:00:00.000,U,3948,40450,95th/Dan Ryan
15,2001-01-01T00:00:00.000,U,72,40400,Noyes
16,2001-01-01T00:00:00.000,U,0,40150,Pulaski-Cermak
17,2001-01-01T00:00:00.000,U,177,40690,Dempster
18,2001-01-01T00:00:00.000,U,185,40460,Merchandise Mart
19,2001-01-01T00:00:00.000,U,202,40840,South Boulevard
20,2001-01-01T00:00:00.000,U,1302,41280,Jefferson Park
21,2001-01-01T00:00:00.000,U,364,40130,51st
22,2001-01-01T00:00:00.000,U,196,40870,Francisco
23,2001-01-01T00:00:00.000,U,384,40710,Chicago/Franklin
24,2001-01-01T00:00:00.000,U,0,40740,Western-Cermak
25,2001-01-01T00:00:00.000,U,731,40550,Irving Park-O'Hare
26,2001-01-01T00:00:00.000,U,338,41500,Montrose-Brown
27,2001-01-01T00:00:00.000,U,0,41040,Kedzie-Cermak
28,2001-01-01T00:00:00.000,U,4395,41450,Chicago/State
29,2001-01-01T00:00:00.000,U,427,41080,47th-South Elevated
30,2001-01-01T00:00:00.000,U,2068,40900,Howard
31,2001-01-01T00:00:00.000,U,1046,40340,Berwyn
32,2001-01-01T00:00:00.000,U,248,40510,Garfield-South Elevated
33,2001-01-01T00:00:00.000,U,700,40680,Adams/Wabash
34,2001-01-01T00:00:00.000,U,874,40770,Lawrence
35,2001-01-01T00:00:00.000,U,804,40050,Davis
36,2001-01-01T00:00:00.000,U,141,40610,Ridgeland
37,2001-01-01T00:00:00.000,U,126,40520,Foster
38,2001-01-01T00:00:00.000,U,211,41270,43rd
39,2001-01-01T00:00:00.000,U,1457,41170,Garfield-Dan Ryan
40,2001-01-01T00:00:00.000,U,180,41250,Central-Evanston
41,2001-01-01T00:00:00.000,U,173,40980,Harlem-Forest Park
42,2001-01-01T00:00:00.000,U,230,40940,Halsted/63rd
43,2001-01-01T00:00:00.000,U,469,40750,Harlem-O'Hare
44,2001-01-01T00:00:00.000,U,1227,41420,Addison-North Main
45,2001-01-01T00:00:00.000,U,1363,41400,Roosevelt
46,2001-01-01T00:00:00.000,U,327,41460,Irving Park-Brown
47,2001-01-01T00:00:00.000,U,448,40250,Kedzie-Homan-Forest Park
48,2001-01-01T00:00:00.000,U,621,40670,Western/Milwaukee
49,2001-01-01T00:00:00.000,U,483,40030,Pulaski-Lake
50,2001-01-01T00:00:00.000,U,279,40270,Main
51,2001-01-01T00:00:00.000,U,323,41310,Paulina
52,2001-01-01T00:00:00.000,U,413,40970,Cicero-Forest Park
53,2001-01-01T00:00:00.000,U,417,40360,Southport
54,2001-01-01T00:00:00.000,U,1403,41300,Loyola
55,2001-01-01T00:00:00.000,U,0,40210,Damen-Cermak
56,2001-01-01T00:00:00.000,U,2366,40990,69th
57,2001-01-01T00:00:00.000,U,246,40170,Ashland-Lake
58,2001-01-01T00:00:00.000,U,502,41490,Harrison
59,2001-01-01T00:00:00.000,U,209,41010,Rockwell
60,2001-01-01T00:00:00.000,U,633,40020,Harlem-Lake
61,2001-01-01T00:00:00.000,U,290,40010,Austin-Forest Park
62,2001-01-01T00:00:00.000,U,460,40310,Western-Orange
63,2001-01-01T00:00:00.000,U,2872,41320,Belmont-North Main
64,2001-01-01T00:00:00.000,U,993,41200,Argyle
65,2001-01-01T00:00:00.000,U,2942,41660,Lake/State
66,2001-01-01T00:00:00.000,U,270,41210,Wellington
67,2001-01-01T00:00:00.000,U,666,40570,California/Milwaukee
68,2001-01-01T00:00:00.000,U,242,41060,Ashland-Orange
69,2001-01-01T00:00:00.000,U,431,40800,Sedgwick
70,2001-01-01T00:00:00.000,U,199,40300,Indiana
71,2001-01-01T00:00:00.000,U,6383,40890,O'Hare Airport
72,2001-01-01T00:00:00.000,U,808,40820,Rosemont
73,2001-01-01T00:00:00.000,U,357,41070,Kedzie-Lake
74,2001-01-01T00:00:00.000,U,0,41030,Polk
75,2001-01-01T00:00:00.000,U,834,40200,Randolph/Wabash
76,2001-01-01T00:00:00.000,U,0,40580,54th/Cermak
77,2001-01-01T00:00:00.000,U,660,40390,Forest Park
78,2001-01-01T00:00:00.000,U,1659,41430,87th
79,2001-01-01T00:00:00.000,U,1449,40540,Wilson
80,2001-01-01T00:00:00.000,U,405,40480,Cicero-Lake
81,2001-01-01T00:00:00.000,U,1165,40060,Belmont-O'Hare
82,2001-01-01T00:00:00.000,U,869,41290,Kimball
83,2001-01-01T00:00:00.000,U,96,40160,LaSalle/Van Buren
84,2001-01-01T00:00:00.000,U,1698,40100,Morse
85,2001-01-01T00:00:00.000,U,2314,40630,Clark/Division
86,2001-01-01T00:00:00.000,U,0,40440,California-Cermak
87,2001-01-01T00:00:00.000,U,1273,41000,Cermak-Chinatown
88,2001-01-01T00:00:00.000,U,2030,40930,Midway Airport
89,2001-01-01T00:00:00.000,U,953,40880,Thorndale
90,2001-01-01T00:00:00.000,U,987,41020,Logan Square
91,2001-01-01T00:00:00.000,U,469,40960,Pulaski-Orange
92,2001-01-01T00:00:00.000,U,217,41160,Clinton-Lake
93,2001-01-01T00:00:00.000,U,225,41440,Addison-Brown
94,2001-01-01T00:00:00.000,U,474,40920,Pulaski-Forest Park
95,2001-01-01T00:00:00.000,U,1255,40560,Jackson/State
96,2001-01-01T00:00:00.000,U,1131,40190,Sox-35th-Dan Ryan
97,2001-01-01T00:00:00.000,U,182,40490,Grand/Milwaukee
98,2001-01-01T00:00:00.000,U,144,41140,King Drive
99,2001-01-01T00:00:00.000,U,1763,41220,Fullerton
100,2001-01-01T00:00:00.000,U,402,41180,Kedzie-Brown
101,2001-01-01T00:00:00.000,U,156,40850,Library
102,2001-01-01T00:00:00.000,U,0,40420,Cicero-Cermak
103,2001-01-01T00:00:00.000,U,854,40320,Division/Milwaukee
104,2001-01-01T00:00:00.000,U,460,41150,Kedzie-Midway
105,2001-01-01T00:00:00.000,U,979,41090,Monroe/State
106,2001-01-01T00:00:00.000,U,540,40290,Ashland/63rd
107,2001-01-01T00:00:00.000,U,1039,40370,Washington/Dearborn
108,2001-01-01T00:00:00.000,U,374,40040,Quincy/Wells
109,2001-01-01T00:00:00.000,U,546,40430,Clinton-Forest Park
110,2001-01-01T00:00:00.000,U,0,40830,18th
111,2001-01-01T00:00:00.000,U,259,40730,Washington/Wells
112,2001-01-01T00:00:00.000,U,318,40120,35th/Archer
113,2001-01-01T00:00:00.000,U,2470,40240,79th
114,2001-01-01T00:00:00.000,U,355,40660,Armitage
115,2001-01-01T00:00:00.000,U,1407,41380,Bryn Mawr
116,2001-01-01T00:00:00.000,U,1366,40910,63rd-Dan Ryan
117,2001-01-01T00:00:00.000,U,700,40280,Central-Lake
118,2001-01-01T00:00:00.000,U,2059,40260,State/Lake
119,2001-01-01T00:00:00.000,U,368,40640,Madison/Wabash
120,2001-01-01T00:00:00.000,U,0,40600,Kostner
121,2001-01-01T00:00:00.000,U,346,40700,Laramie
122,2001-01-01T00:00:00.000,U,342,40790,Monroe/Dearborn
123,2001-01-01T00:00:00.000,U,286,40470,Racine
124,2001-01-01T00:00:00.000,U,1116,40080,Sheridan
125,2001-01-01T00:00:00.000,U,142,41340,LaSalle
126,2001-01-01T00:00:00.000,U,383,41330,Montrose-O'Hare
127,2001-01-01T00:00:00.000,U,670,40530,Diversey
128,2001-01-01T00:00:00.000,U,0,40780,Central Park
129,2001-01-01T00:00:00.000,U,170,41350,Oak Park-Lake
130,2001-01-01T00:00:00.000,U,213,41360,California-Lake
131,2001-01-01T00:00:00.000,U,1181,40500,Washington/State
132,2001-01-01T00:00:00.000,U,157,40180,Oak Park-Forest Park
133,2001-01-01T00:00:00.000,U,1080,40380,Clark/Lake
134,2001-01-01T00:00:00.000,U,318,40220,Western-Forest Park
135,2001-01-01T00:00:00.000,U,590,41190,Jarvis
136,2001-01-01T00:00:00.000,U,715,41480,Western-Brown
137,2001-01-01T00:00:00.000,U,252,41410,Chicago/Milwaukee
138,2001-01-01T00:00:00.000,U,1156,40650,North/Clybourn
139,2001-01-01T00:00:00.000,U,787,41230,47th-Dan Ryan
140,2001-01-01T00:00:00.000,U,388,41240,Addison-O'Hare
141,2001-01-02T00:00:00.000,W,988,41060,Ashland-Orange
142,2001-01-02T00:00:00.000,W,1104,40270,Main
143,2001-01-02T00:00:00.000,W,5732,40990,69th
144,2001-01-02T00:00:00.000,W,1823,40090,Damen-Brown
145,2001-01-02T00:00:00.000,W,1142,40470,Racine
146,2001-01-02T00:00:00.000,W,2329,40430,Clinton-Forest Park
147,2001-01-02T00:00:00.000,W,1003,40490,Grand/Milwaukee
148,2001-01-02T00:00:00.000,W,1216,40720,East 63rd-Cottage Grove
149,2001-01-02T00:00:00.000,W,2335,41150,Kedzie-Midway
150,2001-01-02T00:00:00.000,W,6075,40240,79th
151,2001-01-02T00:00:00.000,W,842,41250,Central-Evanston
152,2001-01-02T00:00:00.000,W,3624,40590,Damen/Milwaukee
153,2001-01-02T00:00:00.000,W,1001,40920,Pulaski-Forest Park
154,2001-01-02T00:00:00.000,W,7703,41320,Belmont-North Main
155,2001-01-02T00:00:00.000,W,3807,40100,Morse
156,2001-01-02T00:00:00.000,W,1706,41410,Chicago/Milwaukee
157,2001-01-02T00:00:00.000,W,12087,41660,Lake/State
158,2001-01-02T00:00:00.000,W,913,40130,51st
159,2001-01-02T00:00:00.000,W,4046,40060,Belmont-O'Hare
160,2001-01-02T00:00:00.000,W,2627,40310,Western-Orange
161,2001-01-02T00:00:00.000,W,3047,40910,63rd-Dan Ryan
162,2001-01-02T00:00:00.000,W,1835,40280,Central-Lake
163,2001-01-02T00:00:00.000,W,2971,40390,Forest Park
164,2001-01-02T00:00:00.000,W,2390,41490,Harrison
165,2001-01-02T00:00:00.000,W,11692,40450,95th/Dan Ryan
166,2001-01-02T00:00:00.000,W,2405,41200,Argyle
167,2001-01-02T00:00:00.000,W,2661,40190,Sox-35th-Dan Ryan
168,2001-01-02T00:00:00.000,W,3650,40320,Division/Milwaukee
169,2001-01-02T00:00:00.000,W,745,40840,South Boulevard
170,2001-01-02T00:00:00.000,W,1107,41010,Rockwell
171,2001-01-02T00:00:00.000,W,1844,40800,Sedgwick
172,2001-01-02T00:00:00.000,W,1654,40120,35th/Archer
173,2001-01-02T00:00:00.000,W,1637,41330,Montrose-O'Hare
174,2001-01-02T00:00:00.000,W,5194,40200,Randolph/Wabash
175,2001-01-02T00:00:00.000,W,3508,40160,LaSalle/Van Buren
176,2001-01-02T00:00:00.000,W,4971,40790,Monroe/Dearborn
177,2001-01-02T00:00:00.000,W,6848,41090,Monroe/State
178,2001-01-02T00:00:00.000,W,2291,40880,Thorndale
179,2001-01-02T00:00:00.000,W,1173,41180,Kedzie-Brown
180,2001-01-02T00:00:00.000,W,1902,41230,47th-Dan Ryan
